cluster,size,polygon,corpus,d2v_embeddings,predictions
1,5,"POLYGON ((-118.26970294 34.11099196, -118.28496453 34.08980465, -118.27700195 34.07299093, -118.24007468 34.07323873, -118.26970294 34.11099196))","@Xx_that_xx if it isn't limited edition, I wouldn't have prolly bought &gt;.&lt; I'm thinking of buying bb and 2ne1 albums at he same time so I
I’m a fan of Cheshvan as well. “@Dr0id: Ah. The start of my favorite month.”
Win any #SGLA piece from the Shoe Game LA Merch Collection :  1) Follow @shoegameLA.  2) #repost and… http://t.co/jQauc17g2i
Kiss my forehand #SoIKnowItsReal 😂
#Dodgers #ThinkBlue Dodgers lose, learn they're Atlanta-bound - ESPN (blog) http://t.co/iImfPduS0D #SportsRoadhouse","[-0.06394511 -0.06546416 -0.2207332   0.22692582  0.12785317  0.25153482
  0.08803198 -0.06249766  0.09519102  0.16797315  0.16376546 -0.02393593
  0.00401368 -0.0411268   0.16156241 -0.19801728  0.15998952  0.01205842
  0.10320374  0.0222468  -0.12181551  0.16243404  0.15116659  0.20590867
 -0.24524093  0.14935781  0.21622808 -0.06085492  0.17318733 -0.16831623
 -0.10410836 -0.13063878  0.17457305  0.13840373  0.1064792   0.02587347
 -0.09217238 -0.01849418 -0.04182197  0.11520926  0.161239   -0.17300908
 -0.15907629 -0.02838363 -0.10321199 -0.18079981  0.07841785 -0.01248254
  0.01571112  0.13147411  0.0087103   0.04323861  0.07059603 -0.03713385
  0.05648969  0.06360607 -0.11180732 -0.07404801  0.01155773 -0.03256427
  0.09542287  0.03241203 -0.14123002  0.21535176  0.15045984 -0.08158119
  0.05628511 -0.03759228  0.00466614  0.01137853  0.0398683  -0.15455085
 -0.13447712 -0.07465787 -0.10812781 -0.12013701 -0.05126147  0.13800727
  0.14689401  0.03476712  0.1353493   0.07630946 -0.17179886 -0.02940632
  0.12298469  0.13469078  0.10804089  0.12600324  0.00744522 -0.05771783
 -0.05114147 -0.06620509  0.10774326 -0.10746632 -0.06883562 -0.16582565
 -0.07389314  0.02269396  0.00305263  0.14926268  0.1465494  -0.05438714
  0.00945187 -0.1739117   0.11442126 -0.17526682  0.08851159 -0.1793819
  0.06121052  0.18646683 -0.01444604  0.09701259 -0.24144714  0.15525998
 -0.02681331 -0.11594599  0.23213466  0.20912743  0.151525   -0.05306742
  0.04284642  0.04511983 -0.01243042  0.1739908  -0.13151418  0.02779262
  0.20771335 -0.13418189  0.00274682 -0.00764442 -0.21894595  0.00097134
  0.24436654  0.01464384 -0.21735391 -0.01312979 -0.07303694 -0.09459523
 -0.00752421 -0.17132048  0.0520997  -0.01650218  0.17552955  0.02319588
  0.08513808 -0.06828934 -0.21503289  0.10992783 -0.21991485 -0.18073922
 -0.03920737 -0.07632446 -0.09034769  0.065715    0.07112124  0.04198474
  0.10338208 -0.06759176 -0.07543636  0.07270198  0.16453993  0.2079122
 -0.05157087  0.08093522 -0.14635238 -0.18992583 -0.1435965   0.16508597
 -0.28221974 -0.05818485 -0.12948202 -0.1611481  -0.10164779  0.13231063
 -0.05465062  0.08531767  0.27338305  0.09729964  0.09988774  0.11120681
  0.17304257  0.04829881 -0.12072107  0.15984844 -0.13308725 -0.10707281
 -0.09266067  0.08535198 -0.05213761  0.11837122 -0.20152523 -0.07192267
 -0.06102685 -0.13800007 -0.16884102 -0.0004072   0.07022288 -0.2648768
 -0.06258404 -0.00844138  0.08117413  0.12654777 -0.22613698 -0.04970918
  0.11895211  0.03364902 -0.01844488  0.06321843 -0.12183633 -0.04662852
  0.0055333   0.0163096  -0.00349603  0.11683959 -0.02926663 -0.0611771
 -0.11202633 -0.1123742  -0.02676737 -0.02683779 -0.09124843 -0.02522812
 -0.11859795  0.13434204 -0.09953538 -0.16421841 -0.1459953   0.17823902
 -0.07189559 -0.03898228 -0.06631915 -0.04041256  0.01115598 -0.10202247
 -0.0208965  -0.09323011  0.05158214 -0.05166537  0.06878277 -0.12728046
  0.07034419  0.00918665  0.01787581 -0.10761471 -0.08865704 -0.1659858
  0.09440929  0.18908405  0.10771444 -0.10927942  0.1963513   0.0232603
  0.14225407 -0.03807407  0.07255113 -0.03486676  0.02224151  0.05655639
 -0.16008453 -0.03828039  0.00728444  0.03697024 -0.05476462 -0.10002407
 -0.08345901 -0.02681971 -0.12270385  0.01684899 -0.03250939 -0.08006273
  0.20269966 -0.06666706  0.07638495  0.02170915 -0.06731758 -0.09698498
  0.04873213  0.09575973  0.09306596 -0.08592467  0.13474831 -0.08561017
  0.05860461 -0.07655816 -0.09531727 -0.09463896 -0.07239198  0.11468294
 -0.14127813  0.10837744  0.07129752  0.09652248  0.10019595  0.00838396
  0.1846927  -0.20398541 -0.00597564  0.10194837 -0.12315752 -0.04055176]","[('Books', 0.8504459857940674), ('Music', 0.04387124255299568), ('Health & Personal Care', 0.03318456932902336), ('Clothing, Shoes & Jewelry', 0.029956750571727753), ('Sports & Outdoors', 0.013936588540673256), ('Toys & Games', 0.013913839124143124), ('Movies & TV', 0.008452657610177994), ('Technology, Electronics & Accessories', 0.0031303497962653637), ('Home & Kitchen', 0.0019014817662537098), ('Office & School Supplies', 0.001206548884510994)]"
2,4,"POLYGON ((-118.34366794 34.07845063, -118.33124226 34.09585433, -118.32685398 34.10275902, -118.32938914 34.10063701, -118.34366794 34.07845063))","Ill be at day of the dead 🙌😌
About to get my face melted by my friends in the @Futures_League at Bardot in LA. Check them out!
My Stephanie/FFWD reaction time is down to 0.6 seconds.
Started at Degrassi, now we here. (at @Outpost_hwd w/ @drienarene) http://t.co/i5QMgXht7Y","[-0.06461848 -0.05372534 -0.25851804  0.2344162   0.10249911  0.25127617
  0.1145524  -0.06138694  0.0460361   0.18775801  0.22577107 -0.02945616
 -0.01071067 -0.04397181  0.23775916 -0.2430875   0.18106602  0.02674631
  0.1319117   0.11474676 -0.14991994  0.16483943  0.17459638  0.1822829
 -0.29607257  0.20042875  0.24962297 -0.0920233   0.19225001 -0.19123596
 -0.10174044 -0.17625956  0.16061187  0.1945613   0.109324   -0.01346182
 -0.09339735 -0.04235704 -0.03445666  0.19206542  0.21217418 -0.18587436
 -0.16170721 -0.06864851 -0.13760188 -0.17198005  0.11755398 -0.02455759
  0.05535934  0.10607891  0.00101042  0.07125721  0.01515942 -0.02947727
  0.04380299  0.14972249 -0.1084547  -0.06388083  0.00975397 -0.00307072
  0.10285696  0.05481267 -0.19637038  0.2321122   0.1765251  -0.06276947
 -0.00994225 -0.12372289  0.0199794   0.04572071  0.06470088 -0.16584247
 -0.15138493 -0.17839333 -0.17314152 -0.04145644 -0.05735844  0.15491292
  0.14060807  0.07415229  0.13179798  0.07004724 -0.22803116 -0.01348602
  0.1779897   0.11540674  0.09762304  0.14778562  0.00840543 -0.04773116
 -0.0407667  -0.06974887  0.140426   -0.10999256 -0.03793716 -0.14020379
 -0.11025222 -0.02908386 -0.0065232   0.09479693  0.09642249 -0.06696931
  0.00332175 -0.18398772  0.1473633  -0.14780831  0.04719567 -0.17794828
  0.0418379   0.17423965 -0.02917163  0.11131994 -0.19600539  0.1510171
 -0.03705655 -0.10602203  0.1387584   0.15298581  0.1255808   0.00367367
  0.02876063 -0.01437921  0.04404414  0.15907201 -0.13038003  0.0268615
  0.11320902 -0.11833753 -0.03925558 -0.00996869 -0.17152183 -0.06373514
  0.19083522  0.01751088 -0.19187474 -0.01192257 -0.0363003  -0.07709213
 -0.00853935 -0.20616172  0.03823689 -0.04225536  0.13503057  0.00409714
  0.02850741 -0.03839964 -0.17545372  0.1288281  -0.22643717 -0.16486727
 -0.02029257  0.0043001  -0.09694061  0.06693529  0.10312015  0.03959961
  0.11892124 -0.03011907 -0.08856472  0.00435979  0.11723483  0.18280484
 -0.02906786  0.00396415 -0.10999888 -0.16480424 -0.12735152  0.13015564
 -0.23550384 -0.06457406 -0.10307658 -0.11627807 -0.07776352  0.12172166
 -0.07098961  0.05577404  0.27874523  0.10734036  0.09206173  0.0697677
  0.17963451  0.03677724 -0.08660986  0.17640075 -0.11638745 -0.15790442
 -0.07317621  0.08005228  0.00678643  0.15124796 -0.15923415 -0.01801124
 -0.10833276 -0.11192113 -0.16377988 -0.0102083   0.07155991 -0.18120326
 -0.12363843  0.0083911   0.02458235  0.14102742 -0.16425581  0.00427248
  0.13795036 -0.01668017 -0.01399802  0.10621249 -0.15772463 -0.07691136
 -0.07093703  0.03137428  0.01164047  0.08467741 -0.09415498 -0.08181771
 -0.14752668 -0.14568323 -0.05947883  0.02770185 -0.07274108 -0.01419508
 -0.0616103   0.12190858 -0.02914386 -0.100361   -0.13894278  0.19469178
 -0.1176355  -0.03924429 -0.06730375  0.04415759 -0.0055876  -0.14527778
 -0.05919651 -0.09297594  0.1244482  -0.00431935  0.11633312 -0.08381967
  0.07859237  0.05643481 -0.06816465 -0.05142298 -0.12831245 -0.16309945
  0.06384522  0.15125787  0.09214197 -0.14400116  0.18039185  0.05452376
  0.15635449 -0.04709153  0.06049893 -0.02015003 -0.02953558  0.09902409
 -0.16196534 -0.05209811 -0.01524089  0.08360131 -0.06785527 -0.09308855
 -0.1596697  -0.07501519 -0.15032305  0.04968529  0.01972867 -0.10728743
  0.16430913 -0.03351619  0.13740015  0.10044404 -0.10949635 -0.04797541
  0.0512008   0.12986934  0.15029803 -0.06619518  0.08746071 -0.07385643
  0.05171549 -0.07028649 -0.09788616 -0.16724926 -0.12660776  0.10190057
 -0.22032344  0.11567923  0.00553265  0.11175218  0.13766716  0.01500796
  0.15885846 -0.15456413  0.00714412  0.07685499 -0.12395333 -0.05382347]","[('Books', 0.4996708929538727), ('Home & Kitchen', 0.1695629060268402), ('Health & Personal Care', 0.07933543622493744), ('Technology, Electronics & Accessories', 0.06901621073484421), ('Toys & Games', 0.06351421028375626), ('Clothing, Shoes & Jewelry', 0.05273815616965294), ('Music', 0.03879658877849579), ('Movies & TV', 0.01070594135671854), ('Sports & Outdoors', 0.01041390560567379), ('Office & School Supplies', 0.006245784927159548)]"
4,3,"POLYGON ((-118.30649935 33.94529845, -118.26719659 33.94156418, -118.27411759 33.9542253, -118.30649935 33.94529845))","“@Drake: That ovo and that xo is everything you believe in.”
And with that, I'll see y'all in the morning.
Perfectly different http://t.co/oHFf5Js1yE","[-4.24450859e-02 -4.08858135e-02 -1.81264669e-01  1.65965140e-01
  5.98067753e-02  1.68179005e-01  9.21407565e-02 -3.87523472e-02
  3.55898887e-02  9.04939771e-02  1.53100178e-01 -2.45632548e-02
 -2.62593552e-02 -1.07957199e-02  1.48353979e-01 -1.55381575e-01
  1.12832278e-01  3.01551130e-02  8.47300813e-02  6.38860166e-02
 -9.92628634e-02  9.99407694e-02  9.05607417e-02  1.23193234e-01
 -1.80498853e-01  1.23778753e-01  1.58544734e-01 -5.80377877e-02
  1.12732708e-01 -1.22041948e-01 -5.28861098e-02 -1.28724158e-01
  1.32780328e-01  1.28611326e-01  9.00489613e-02  1.86639838e-03
 -8.07176158e-02 -1.95176303e-02 -3.69581990e-02  1.26272738e-01
  1.42112777e-01 -1.43234268e-01 -1.26777858e-01 -6.18515983e-02
 -7.86257088e-02 -1.27846301e-01  9.10504758e-02 -2.67862212e-02
  1.90734491e-02  8.54756013e-02 -3.03239212e-03  3.74380350e-02
  3.13847139e-02 -3.73558030e-02  4.22186628e-02  9.59463120e-02
 -1.00412831e-01 -6.46177232e-02 -2.98715872e-03 -1.27862729e-02
  7.83960894e-02  4.84130494e-02 -1.38766304e-01  1.73379108e-01
  1.22044779e-01 -8.13784227e-02  3.45832948e-03 -9.47202817e-02
  3.85723710e-02  5.01145124e-02  5.39981574e-02 -1.24881215e-01
 -1.15841739e-01 -1.30739778e-01 -1.30048007e-01 -4.38458733e-02
 -3.95138785e-02  1.44651547e-01  9.89042297e-02  4.26611938e-02
  9.77310166e-02  7.14029074e-02 -1.88004851e-01 -1.23734931e-02
  1.43177956e-01  1.02844380e-01  6.80186674e-02  1.13087930e-01
 -8.87951348e-03 -3.80662307e-02 -3.48107181e-02 -5.38752675e-02
  1.09594524e-01 -1.17060058e-01 -5.24921492e-02 -1.21176161e-01
 -7.38515183e-02 -1.99351441e-02 -2.14750017e-03  7.29416311e-02
  7.52321929e-02 -4.85765114e-02 -1.47485211e-02 -1.27648637e-01
  1.18705422e-01 -1.36233136e-01  3.39635387e-02 -1.48346573e-01
  4.41709831e-02  1.34767696e-01 -2.07671635e-02  8.06444660e-02
 -1.61502540e-01  1.29857108e-01 -2.67074239e-02 -9.19900090e-02
  1.20695874e-01  1.29743710e-01  9.40027237e-02 -1.24510815e-02
  2.22338364e-02 -2.20536441e-03  3.45331430e-02  1.32716924e-01
 -1.08518951e-01  1.06260628e-02  9.81729850e-02 -1.07260346e-01
 -2.44370792e-02  6.05023233e-04 -1.40059277e-01 -4.48095240e-02
  1.62050858e-01  1.46548934e-02 -1.30410388e-01 -1.34527693e-02
 -3.49568538e-02 -5.60476258e-02  4.23013698e-03 -1.44995168e-01
  4.19470035e-02 -2.41854731e-02  1.01751581e-01  4.79852362e-03
  7.83602148e-03 -3.52624916e-02 -1.43963605e-01  1.07679933e-01
 -1.75524846e-01 -1.06266424e-01 -5.98475337e-03  4.35309066e-03
 -1.02068707e-01  6.07894585e-02  6.47088438e-02  1.13335652e-02
  9.06978324e-02 -4.61451598e-02 -7.85372481e-02  3.99425104e-02
  1.12510145e-01  1.33904055e-01 -2.28192508e-02 -2.14097463e-03
 -9.94032249e-02 -1.09029546e-01 -1.04278736e-01  8.02555382e-02
 -1.76077142e-01 -6.33355677e-02 -6.55101836e-02 -9.41066891e-02
 -6.30608648e-02  1.06990285e-01 -5.44457659e-02  5.29361516e-02
  2.06960842e-01  9.01172385e-02  6.32622093e-02  6.84719160e-02
  1.19425997e-01  2.66179927e-02 -7.98491985e-02  1.30828410e-01
 -9.13143456e-02 -1.05256423e-01 -4.96202745e-02  9.44286510e-02
 -6.89860620e-03  9.59792063e-02 -1.23418264e-01 -2.28811521e-02
 -5.93734309e-02 -9.12233889e-02 -1.03915855e-01 -2.37023644e-03
  4.33732904e-02 -1.39498666e-01 -8.89412761e-02  2.23118230e-03
  3.24861184e-02  1.11738928e-01 -1.16663948e-01 -2.11085603e-02
  1.01577632e-01  4.06067539e-03  1.03352573e-02  8.08515921e-02
 -1.03374444e-01 -4.77364622e-02 -5.46781234e-02  1.92200132e-02
  3.12064076e-05  6.90293089e-02 -4.95787561e-02 -6.57730848e-02
 -1.26510575e-01 -1.15235001e-01 -2.46414896e-02 -2.96678743e-03
 -7.65648484e-02  6.67129934e-04 -4.71122712e-02  1.04751252e-01
 -4.34256904e-02 -7.66132474e-02 -8.60170051e-02  1.45532683e-01
 -6.33844882e-02 -2.19271369e-02 -6.22049384e-02  1.36041278e-02
  2.24776217e-03 -9.09567103e-02 -3.24627943e-02 -6.54463693e-02
  7.46119171e-02 -1.58933233e-02  9.53131691e-02 -7.30858520e-02
  6.81942329e-02  3.76862623e-02 -5.06124496e-02 -5.92208765e-02
 -8.00219029e-02 -1.30056188e-01  6.32757097e-02  1.23435505e-01
  6.62235990e-02 -8.67289603e-02  1.40888914e-01  4.65710238e-02
  1.28517911e-01 -3.82978059e-02  4.99521717e-02 -1.44445440e-02
  8.56942497e-03  5.50434440e-02 -1.09110601e-01 -2.27263756e-02
 -6.67508971e-03  4.13700193e-02 -4.64917794e-02 -7.24278837e-02
 -8.33283663e-02 -4.61331159e-02 -9.45923254e-02  2.57038162e-03
 -8.38221423e-03 -7.36619085e-02  1.39199510e-01 -4.34178561e-02
  8.90387446e-02  7.15955496e-02 -8.08200091e-02 -6.59359396e-02
  3.00912634e-02  6.95572942e-02  9.80519950e-02 -6.51814863e-02
  7.05056936e-02 -7.57584572e-02  3.15146260e-02 -4.14954163e-02
 -6.11977018e-02 -9.82935205e-02 -9.86691788e-02  7.62356073e-02
 -1.33188009e-01  5.11505269e-02  1.15047824e-02  7.48155862e-02
  9.21415389e-02  9.64170694e-03  1.04932353e-01 -1.11668065e-01
  1.06761940e-02  6.78982511e-02 -9.53198746e-02 -4.92379107e-02]","[('Books', 0.5990639328956604), ('Toys & Games', 0.07250091433525085), ('Clothing, Shoes & Jewelry', 0.07059323787689209), ('Health & Personal Care', 0.0642169639468193), ('Music', 0.04564201459288597), ('Home & Kitchen', 0.03970698267221451), ('Technology, Electronics & Accessories', 0.03501551225781441), ('Sports & Outdoors', 0.03273497521877289), ('Movies & TV', 0.03017701767385006), ('Office & School Supplies', 0.010348468087613583)]"
7,3,"POLYGON ((-118.4342623 34.06113687, -118.45422389 34.067974, -118.45317744 34.06622164, -118.4342623 34.06113687))","""ill protect you from the world.""
Shout out to my girl @veronicapaldi because we have been doing this nonstop all night. Luv u. http://t.co/PdrMxc6jrn
I wish it wasn't a harm to eat at this time . .","[-0.09505285 -0.03960399 -0.19751708  0.2170015   0.02294786  0.16036084
  0.13352297  0.005032    0.06012399  0.11686342  0.19813928 -0.01612843
 -0.05631709 -0.01286999  0.18041328 -0.22781055  0.17050585  0.05321252
  0.12305481  0.0631999  -0.13811797  0.17267309  0.15402421  0.22229601
 -0.26388353  0.17101577  0.23485556 -0.09126105  0.19767535 -0.19950119
 -0.06685873 -0.18781966  0.15879135  0.12923151  0.09432241  0.01484512
 -0.08864524 -0.01086213 -0.03663916  0.1478975   0.20223002 -0.19069122
 -0.1876858  -0.06613237 -0.11168824 -0.18894123  0.10903039 -0.03372841
  0.01635875  0.12705247 -0.00556024  0.0456533   0.04551527 -0.05062413
  0.06506241  0.09671197 -0.11920112 -0.07397345 -0.00310302 -0.02305081
  0.10178765  0.05274687 -0.14203143  0.20062728  0.18726319 -0.07678327
  0.03731945 -0.07496701  0.03631501  0.04225112  0.06882322 -0.14391115
 -0.1592908  -0.13314816 -0.17464174 -0.10053939 -0.05644675  0.18882817
  0.15136732  0.03062803  0.11632665  0.09030246 -0.20368814 -0.04565568
  0.1558001   0.12562832  0.09803981  0.1430819  -0.01945544 -0.04675782
 -0.04916056 -0.09463584  0.08884022 -0.12864715 -0.04415651 -0.18702827
 -0.08146199 -0.00738372  0.00167289  0.1047574   0.10095029 -0.02823581
 -0.00279045 -0.14878902  0.09950635 -0.13106379  0.05756386 -0.1423044
  0.0850867   0.18009892 -0.05743907  0.0917836  -0.20379804  0.12270506
  0.04388698 -0.05891414  0.18504108  0.17765449  0.12636793 -0.01490712
  0.01252033  0.00676174  0.03202244  0.12381528 -0.12559213  0.00640198
  0.18065229 -0.08538012 -0.03240747 -0.02991651 -0.14654276 -0.00344259
  0.15404561  0.05264061 -0.1398228   0.03090642 -0.0268915  -0.10844017
 -0.07038861 -0.16182502  0.0254641  -0.02650384  0.16598918 -0.01855523
  0.03840953 -0.06789339 -0.1294333   0.09439685 -0.16676803 -0.18412799
 -0.10542784 -0.04225873 -0.12235216  0.02494506  0.10253543  0.01517205
  0.08385876 -0.07705006 -0.03950663  0.00247013  0.10192908  0.17171296
 -0.04690826  0.04051254 -0.0828706  -0.11960803 -0.08288774  0.10002661
 -0.20529756 -0.04722784 -0.08852258 -0.08879913 -0.07495965  0.0893292
  0.00612506  0.02360325  0.16695611  0.05874143  0.05671445  0.06409675
  0.15361758  0.01860646 -0.06723727  0.11301915 -0.08710801 -0.08064681
 -0.04122068  0.08359335 -0.0271695   0.10513888 -0.12474465 -0.04087896
 -0.03620559 -0.11829641 -0.15790449 -0.00792606  0.03890041 -0.18628773
 -0.07780168 -0.02915496  0.07471005  0.11704966 -0.18351439 -0.01631562
  0.16218457  0.0279934  -0.00614693  0.07416162 -0.12496512 -0.06858715
 -0.01984535  0.05318492  0.03698253  0.09873114 -0.04283528 -0.09963067
 -0.11910621 -0.1287049  -0.05395019 -0.02083628 -0.06656498  0.00255094
 -0.07912514  0.1271088  -0.05440839 -0.14600013 -0.15357512  0.21289724
 -0.09688952 -0.0294616  -0.09953786 -0.0133846   0.01564304 -0.12185591
 -0.04305942 -0.13444746  0.09259279 -0.02146579  0.09714053 -0.10086244
  0.11506127  0.05544503 -0.03007697 -0.0796387  -0.12797034 -0.17851979
  0.06987203  0.21600603  0.07765321 -0.11191683  0.17417604  0.0271409
  0.14192845 -0.011403    0.0771298  -0.03200619 -0.00892608  0.07277644
 -0.1779149  -0.02351842  0.04944656  0.04583617 -0.05715545 -0.10908175
 -0.11636068 -0.0340789  -0.16243783  0.04478718  0.0125595  -0.11080503
  0.17292003 -0.02110857  0.11355579  0.05415003 -0.08951039 -0.05185259
  0.06658456  0.12330121  0.12688127 -0.08645857  0.09195519 -0.07564856
  0.03817605 -0.08909323 -0.075367   -0.12566777 -0.10015895  0.1206817
 -0.18625888  0.08457893  0.02768405  0.12469589  0.10398804 -0.04933644
  0.12824453 -0.12349346 -0.01065311  0.03450329 -0.09843447 -0.08142301]","[('Books', 0.9632371664047241), ('Health & Personal Care', 0.012308270670473576), ('Toys & Games', 0.007586471736431122), ('Movies & TV', 0.004777919501066208), ('Clothing, Shoes & Jewelry', 0.00406736321747303), ('Music', 0.003788282861933112), ('Sports & Outdoors', 0.002150533488020301), ('Home & Kitchen', 0.0008256815490312874), ('Technology, Electronics & Accessories', 0.0006321544060483575), ('Office & School Supplies', 0.0006261972594074905)]"
